"Компетенция;Уровень владения"
"Определения, история развития и главные тренды ИИ;1"
"Процесс, стадии и методологии разработки решений на основе ИИ (Docker, Linux/Bash, Git);2"
"Статистические методы и первичный анализ данных;2"
"Промпт-инжиниринг;0"
"Инструменты CitizenDS;0"
"Оценка качества работы методов ИИ;2"
"Языки программирования и библиотеки (Python, C++);2"
"Этика ИИ;0"
"Безопасность ИИ;0"
"Цифровые двойники;0"
"Методы машинного обучения;2"
"Методы оптимизации;2"
"Информационный поиск;1"
"Рекомендательные системы;1"
"Анализ изображений и видео;2"
"Анализ естественного языка;2"
"Основы глубокого обучения;2"
"Глубокое обучение для анализа и генерации изображений, видео;2"
"Глубокое обучение для анализа и генерации естественного языка;2"
"Обучение с подкреплением и глубокое обучение с подкреплением;1"
"Гибридные модели и PIML;0"
"Анализ геоданных;0"
"Массово параллельные вычисления для ускорения машинного обучения (GPU);0"
"Работа с распределенной кластерной системой;1"
"Машинное обучение на больших данных;1"
"Потоковая обработка данных (data streaming, event processing);0"
"Графовые нейросети;0"
"SQL базы данных (GreenPlum, Postgres, Oracle);1"
"NoSQL базы данных (Cassandra, MongoDB, ElasticSearch, Neo4J, Hbase);1"
"Массово параллельная обработка и анализ данных;1"
"Hadoop, SPARK, Hive;1"
"Шины данных (kafka);0"
"Качество и предобработка данных, подходы и инструменты;2"
"Графы знаний и онтологии;0"
